goos: linux
goarch: amd64
pkg: github.com/exergy-dev/go-topology-suite/buffer
cpu: Intel(R) Core(TM) i9-14900KF
BenchmarkDifference/ngon/n=64-32            	    6644	    161757 ns/op	  139419 B/op	     868 allocs/op
BenchmarkDifference/ngon/n=64-32            	    7814	    160144 ns/op	  139419 B/op	     868 allocs/op
BenchmarkDifference/ngon/n=64-32            	    7412	    162679 ns/op	  139419 B/op	     868 allocs/op
BenchmarkDifference/ngon/n=64-32            	    7810	    161573 ns/op	  139419 B/op	     868 allocs/op
BenchmarkDifference/ngon/n=1024-32          	     518	   2344968 ns/op	 2187844 B/op	   11545 allocs/op
BenchmarkDifference/ngon/n=1024-32          	     511	   2345896 ns/op	 2187843 B/op	   11545 allocs/op
BenchmarkDifference/ngon/n=1024-32          	     498	   2356094 ns/op	 2187845 B/op	   11545 allocs/op
BenchmarkDifference/ngon/n=1024-32          	     506	   2308218 ns/op	 2187844 B/op	   11545 allocs/op
BenchmarkDifference/ngon/n=1024-32          	     528	   2359431 ns/op	 2187844 B/op	   11545 allocs/op
BenchmarkDifference/ngon/n=1024-32          	     500	   2291447 ns/op	 2187845 B/op	   11545 allocs/op
BenchmarkDifference/ngon/n=1024-32          	     522	   2323892 ns/op	 2187844 B/op	   11545 allocs/op
BenchmarkDifference/ngon/n=1024-32          	     512	   2335697 ns/op	 2187841 B/op	   11545 allocs/op
BenchmarkDifference/ngon/n=1024-32          	     529	   2327618 ns/op	 2187844 B/op	   11545 allocs/op
BenchmarkDifference/ngon/n=1024-32          	     517	   2375704 ns/op	 2187840 B/op	   11545 allocs/op
BenchmarkDifference/ngon/n=8192-32          	      49	  22586125 ns/op	17616081 B/op	   91083 allocs/op
BenchmarkDifference/ngon/n=8192-32          	      56	  21902172 ns/op	17616118 B/op	   91083 allocs/op
BenchmarkDifference/ngon/n=8192-32          	      51	  22216262 ns/op	17616087 B/op	   91083 allocs/op
BenchmarkDifference/ngon/n=8192-32          	      48	  22021816 ns/op	17616106 B/op	   91083 allocs/op
BenchmarkDifference/ngon/n=8192-32          	      55	  22036369 ns/op	17616095 B/op	   91083 allocs/op
BenchmarkDifference/ngon/n=8192-32          	      51	  21904337 ns/op	17616111 B/op	   91083 allocs/op
BenchmarkDifference/ngon/n=8192-32          	      49	  21763307 ns/op	17616100 B/op	   91083 allocs/op
BenchmarkDifference/ngon/n=8192-32          	      55	  21774757 ns/op	17616111 B/op	   91083 allocs/op
